type,name,notice,furigana
General Garbage,Toys (non-metal),Items made of metal are Non-burnable Garbage. If items are Burnable and don't fit in a plastic bag&#44; they are General Garbage. ,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Trays,Items made of wood or plastic are Oversized Burnable Garbage. ,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Toys (metal),If things are Burnable and fit in a plastic bag&#44; they are General Garbage. If things don't fit in a plastic bag&#44; they are Oversized Burnable Garbage.,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Thermometers,"Separate from other Non-burnable Garbage when throwing out. If it is broken&#44; please wrap them in cloth or paper and write ""Caution"" on it.",T
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Toys,Things made of metal are Non-burnable Garbage. If things are Burnable and fit in a plastic bag&#44; they are General Garbage. ,T
General Garbage,Thermal paper,,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Teapots,,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Tumblers (Glass&#44; Ceramic&#44; Metal),It is General Garbage unless it is made of glass&#44; ceramic&#44; or metal.,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Tripod (for still or video camera),,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Tricycle (children's),To show it is disused,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Thankless water heater(small&#44; household use),When you purchase a new one&#44; have the retail store dispose of it for you.,T
General Garbage,Tape measures,Metal items are Non-burnable Garbage.,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Tape measures (metal),It is General Garbage unless it is made of metal.,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Trouser presses,,T
General Garbage,Tires&#44; tubes (for bikes),When you purchase a new one&#44; have the retail store dispose of it for you.,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Thermometers (glass&#44; electric),Separate mercury thermometers from other Num-burnable Garbage. Putin its case so it doesn't break. If it is broken put it in a bag and write the contents on the bag.,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Typewriters,,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Tire chains (for cars),,T
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Tires&#44; tubes (for bikes),When you purchase a new one&#44; have the retail store dispose of it for you.,T
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Tatami mats,When you purchase a new one&#44; have the retail store dispose of it for you.,T
General Garbage,Tissue paper,,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Tea utensils,,T
General Garbage,T-shirts,Dirty items are General Garbage.,T
General Garbage,Tissue paper,,T
General Garbage,Tablecloth,For large items place with Oversized Burnable Garbage.,T
General Garbage,Tennis ball,,T
General Garbage,Telephone card,,T
General Garbage,Tempura oil,Solidify the oil or absorb it with paper.,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Table (metal),It is Oversized Burnable Garbage unless it is made of metal.,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Tape recorders,Please remove batteries.,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,TV antennas,Outdoor antenna should be broken down. When purchasing a new one&#44; have the store dispose of it.. ,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,TV stands (metal),It is Oversized Burnable Garbage unless it is made of metal.,T
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Tables,Metal items are Non-burnable Garbage.,T
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Tablecloth,,T
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,TV stands,Metal items are Non-burnable Garbage.,T
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Tents,Fold and bind with string when throwing away.,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Toasters,,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Trays (styrofoam),Please cooperation in bringing items to the collection box at supermarkets etc.,T
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Trays (styrofoam),Please cooperation in bringing items to the collection box at supermarkets etc.,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Tiepins,,T
General Garbage,Toothbrushes,Electric toothbrushes are Non-burnable.,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Toothbrushes (electric),,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Toothpaste tubes,Use up the contents and remove the dirt.,T
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Toothpaste tubes,Use up the contents and remove the dirt.,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Telescopes,,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Thermos bottles,,T
General Garbage,Tape measures,,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Thankless water heater (small household use),When you purchase a new one&#44; have the retail store dispose of it for you.,T
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Treadmills,When you purchase a new one&#44; have the retail store dispose of it for you.,T
General Garbage,Used cooking oil,Solidify the oil or absorb it with paper.,U
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Umbrellas,,U
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Unicycles,Residential use unicycles only.,U
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Umbrellas,,U
General Garbage,Underwear,,U
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Vanities (mirror parts),Parts other than the mirror are Oversized Burnable Garbage.,V
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Vanities (other than mirror parts),Mirror parts are Non-burnable.,V
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Ventilation fans,When you purchase a new one&#44; have the retail store dispose of it for you.,V
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Vases,"If it is broken&#44; please wrap them in clothing or paper and write ""Caution"" on it.",V
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Vacuum cleaners,,V
General Garbage,Videotapes,,V
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Video cameras,,V
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Video decks,,V
General Garbage,Wicker items,,W
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Wicker items,,W
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Wash tubs,,W
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Window screans,When you purchase a new one&#44; have the retail store dispose of it for you.,W
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Wooden doors,,W
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Wristwatches,,W
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Wood chips branches,Cut and make bundles smaller than 10cm x 1m.,W
General Garbage,Work gloves,,W
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Wheelchairs,,W
General Garbage,Woolen yarn,,W
General Garbage,Weeds,Remove the soil and dry. If it does not fit in three 45-liter garbage bags&#44; it is Orversized Burnable Garbage.,W
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Weeds (large quantity),Remove the soil and dry. If it does not fit in three 45-liter garbage bags&#44; it is General Garbage.,W
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Watering pots (metal),It is Oversized Burnable Garbage unless it is made of metal.,W
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Watering pots (non-metal),Metal items are Non-burnable Garbage.,W
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Water tank,Items not made of glass are Oversized General Garbage.,W
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Wrenches,,W
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Water tanks,Things made of glass are Non-burnable.,W
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Water bottles,Metal items are Non-burnable Garbage.,W
General Garbage,Washbowls,Metal items are Non-burnable Garbage.,W
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Washbowls (metal),It is General Garbage or Oversized Burnable Garbage unless it is made of metal.,W
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Washbowls,Metal items are Non-burnable Garbage.,W
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Weighing machine,,W
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Whetstone,,W
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Wall clocks,,W
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Wire,,W
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Weights non-metal (household use),Metal items are Non-burnable Garbage.,W
General Garbage,Writing brushes,,W
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Wind chimes,,W
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Walkers (for infants) (metal fittings),Place with over-sized Burnable Garbage except for metal fittings.,W
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Walkers (for infants),If it has metal fittings&#44; place with Non-burnable Garbage.,W
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Wash line poles (metal type),It is Oversized Burnable Garbage unless it is made of metal.,W
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Wash line poles (non-metal),Metal items are Non-burnable Garbage.,W
General Garbage,Wraps (used at a household),Product packaging are Plastic Containers.,W
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Wraps (wrapped products),For household used items place with General Garbage.,W
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Word processor,,W
